,iso6393,language,languageLabel,nativeSpeakers,totalSpeakers,ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID_x,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate,Language_ID_y,classification,path,top_family_id,first_subfamily_id,top_family,top_family_level,first_subfamily,first_subfamily_level,mainScript
221,iii,http://www.wikidata.org/entity/Q34235,Nuosu,2000000,,sich1238,Sichuan Yi,Eurasia,28.1947,102.121,sich1238,iii,language,CN,sino1245,,iii,,,False,sich1238,sino1245/burm1265/lolo1265/lolo1267/nili1235/sout3212/niso1234/nucl1739/nasu1236,"['sino1245', 'burm1265', 'lolo1265', 'lolo1267', 'nili1235', 'sout3212', 'niso1234', 'nucl1739', 'nasu1236']",sino1245,burm1265,Sino-Tibetan,family,Burmo-Qiangic,family,
222,sxu,http://www.wikidata.org/entity/Q699284,Upper Saxon,2000000,,uppe1400,Central East Middle German,Eurasia,51.152,12.692,uppe1400,sxu,language,DE,indo1319,,sxu,,,False,uppe1400,indo1319/clas1257/germ1287/nort3152/west2793/high1289/fran1268/east2832,"['indo1319', 'clas1257', 'germ1287', 'nort3152', 'west2793', 'high1289', 'fran1268', 'east2832']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Runr
223,quc,http://www.wikidata.org/entity/Q36494,K’iche’,2000000,,kich1262,K'iche',North America,14.5278,-91.1696,kich1262,quc,language,GT;MX,maya1287,,quc,,,False,kich1262,maya1287/core1254/quic1274/grea1276/core1251/quic1275,"['maya1287', 'core1254', 'quic1274', 'grea1276', 'core1251', 'quic1275']",maya1287,core1254,Mayan,family,Core Mayan,family,Latn
224,zyb,http://www.wikidata.org/entity/Q8054983,Yongbei Zhuang,1980000,,yong1276,Yongbei Zhuang,Eurasia,23.1,108.15,yong1276,zyb,language,CN,taik1256,,zyb,,,False,yong1276,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/yong1274,"['taik1256', 'kamt1241', 'daic1238', 'daic1237', 'nort3326', 'nort3180', 'yong1274']",taik1256,kamt1241,Tai-Kadai,family,Kam-Tai,family,
225,fon,http://www.wikidata.org/entity/Q33291,Fon,1935500,,fonn1241,Fon,Africa,7.15484,1.66495,fonn1241,fon,language,BJ;TG,atla1278,,fon,,,False,fonn1241,atla1278/volt1241/kwav1236/gbee1241/east2711/fong1244,"['atla1278', 'volt1241', 'kwav1236', 'gbee1241', 'east2711', 'fong1244']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,Latn
226,bgq,http://www.wikidata.org/entity/Q2426319,Bagri,1890815,,bagr1243,Bagri,Eurasia,31.4,75.06,bagr1243,bgq,language,IN;PK,indo1319,,bgq,,,False,bagr1243,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/midl1245/apab1234/guja1255/raja1256/bagr1245,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'midl1245', 'apab1234', 'guja1255', 'raja1256', 'bagr1245']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Deva
227,sid,http://www.wikidata.org/entity/Q33786,Sidamo,1800000,,sida1246,Sidamo,Africa,6.74176,38.3729,sida1246,sid,language,ET,afro1255,,sid,,,False,sida1246,afro1255/cush1243/east2699/high1285/sida1247/sida1248,"['afro1255', 'cush1243', 'east2699', 'high1285', 'sida1247', 'sida1248']",afro1255,cush1243,Afro-Asiatic,family,Cushitic,family,Latn
228,rhg,http://www.wikidata.org/entity/Q3241177,Rohingya,1800000,,rohi1238,Rohingya,Eurasia,20.833082,92.393968,rohi1238,rhg,language,BD;MM;TH,indo1319,,rhg,,,False,rohi1238,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1323/oriy1254/gaud1237/gaud1238,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'cont1248', 'indo1323', 'oriy1254', 'gaud1237', 'gaud1238']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Rohg
229,kai,http://www.wikidata.org/entity/Q3438770,Karai-karai,1800000,,kare1348,Karekare,Africa,12.5176,10.8732,kare1348,kai,language,NG,afro1255,,kai,,,False,kare1348,afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261,"['afro1255', 'chad1250', 'west2785', 'west2714', 'west2799', 'west2715', 'bole1261']",afro1255,chad1250,Afro-Asiatic,family,Chadic,family,Latn
230,brh,http://www.wikidata.org/entity/Q33202,Brahui,1800000,,brah1256,Brahui,Eurasia,29.04,66.56,brah1256,brh,language,AF;IR;PK,drav1251,,brh,,,False,brah1256,drav1251/nort2698,"['drav1251', 'nort2698']",drav1251,nort2698,Dravidian,family,North Dravidian,family,Arab
231,kde,http://www.wikidata.org/entity/Q35172,Makonde,1700000,,mako1251,Makonde,Africa,-10.9906,39.5133,mako1251,kde,language,MZ;TZ,atla1278,,kde,,,False,mako1251,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/rufi1235/ruvu1234/mako1254,"['atla1278', 'volt1241', 'benu1247', 'bant1294', 'sout3152', 'narr1281', 'east2731', 'rufi1235', 'ruvu1234', 'mako1254']",atla1278,volt1241,Atlantic-Congo,family,Volta-Congo,family,Latn
232,quh,http://www.wikidata.org/entity/Q1307730,South Bolivian Quechua,1616120,,sout2991,South Bolivian Quechua,South America,-20.9201,-66.3331,sout2991,quh,language,AR;BO;CL,quec1387,,quh,,,False,sout2991,quec1387/quec1389/boli1262/sout3406,"['quec1387', 'quec1389', 'boli1262', 'sout3406']",quec1387,quec1389,Quechuan,family,Southern Quechua,family,
233,kbd,http://www.wikidata.org/entity/Q33522,Kabardian,1600000,,kaba1278,Kabardian,Eurasia,43.5082,43.3918,kaba1278,kbd,language,RU;TR,abkh1242,,kbd,,,False,kaba1278,abkh1242/circ1239,"['abkh1242', 'circ1239']",abkh1242,circ1239,Abkhaz-Adyge,family,Circassian,family,Cyrl
234,aar,http://www.wikidata.org/entity/Q27811,Afar,1600000,,afar1241,Afar,Africa,12.2281,41.8083,afar1241,aar,language,DJ;ER;ET,afro1255,,aar,,,False,afar1241,afro1255/cush1243/east2699/lowl1267/saho1245,"['afro1255', 'cush1243', 'east2699', 'lowl1267', 'saho1245']",afro1255,cush1243,Afro-Asiatic,family,Cushitic,family,
235,mak,http://www.wikidata.org/entity/Q33643,Makassar,1600000,,maka1311,Makasar,Papunesia,-5.65551,119.838,maka1311,mak,language,ID,aust1307,,mak,,,False,maka1311,aust1307/mala1545/sout2923/sout3413/maka1310/nucl1727,"['aust1307', 'mala1545', 'sout2923', 'sout3413', 'maka1310', 'nucl1727']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,Latn
